h,NO3-,NO2-,SO4-2,pH,EC,analytical_proc
0,-0.0020944074710176038,-1.8394160583941606,,,,Fred
6.625,,,0.24151571934207786,7.48,159,Ulla
13,0.640475605071072,15.45985401459854,,,,Fred
17.125,1.0065703176193577,27.66308009998913,,7.43,279,Ulla
21,0.919461390703035,31.51824817518248,,,,Fred
25.125,1.1422257254984127,22.315835235300508,,7.57,312,Ulla
29,,,,,,Fred
33.125,,,0.24880283156360605,7.72,331,Ulla
37,1.1051625048021518,24.072992700729927,,,,Fred
41.125,,,0.2477618155319592,7.71,337,Ulla
45,,,,,,Fred
49.125,,,0.2477618155319592,7.69,337,Ulla
53,0.8487353054168266,16.189781021897808,,,,Fred
57.16666,1.1636450004266843,12.5482012824693,,7.7,336,Ulla
61,0.8214975028812908,9.620437956204377,,,,Fred
65.125,,,0.2560899437851343,7.75,336,Ulla
69,0.78951517479831,7.795620437956203,,,,Fred
73.125,1.1336580155271039,8.127812194326703,,7.76,337,Ulla
77,0.81841644256627,6.554744525547445,,,,Fred
81.225,,,0.24567978346866542,7.86,339,Ulla
85,0.8345132539377642,5.8248175182481745,,,,Fred
89.20833,,,0.2727462002914845,7.87,340,Ulla
93,0.9729611986169804,5.67883211678832,,,,Fred
97.20833,,,0.2508848636268999,7.86,339,Ulla
101,0.7764840568574721,5.459854014598539,,,,Fred
105.20833,1.1565052421172604,6.730398869688076,,7.92,330,Ulla
109,,,,,,Fred
113.20833,,,0.24880283156360605,7.83,342,Ulla
117,0.9593461390703031,3.927007299270073,,,,Fred
121.20833,1.1636450004266843,5.332985545049451,,7.84,332,Ulla
125,0.944052247406838,3.8540145985401457,,,,Fred
129.20833,,,0.24672079950031228,7.9,333,Ulla
133,0.9637333845562812,2.6131386861313857,,,,Fred
137.20833,,,0.24672079950031228,8.01,330,Ulla
141,0.7083511333077216,2.905109489051094,,,,Fred
145.20833,1.1779245170455324,5.261688946853602,,7.88,333,Ulla
149,,,,,,Fred
153.20833,,,0.2508848636268999,7.94,320,Ulla
157,0.9485124855935457,2.4671532846715336,,,,Fred
161.24166,,,,7.85,327,Ulla
165,0.925684978870534,3.7810218978102186,,,,Fred
172.91666,1.1565052421172604,4.955113574611454,,7.93,319,Ulla
173,,,,,,Fred
181.5,1.1073791778716866,3.4160583941605833,,,,Fred
