column,switch_time,NO3
4,Inf,0.0
2,317100.3504715996,0.002009435483870968
2,1.2092477271551907e6,0.0018658870967741936
2,1.550999316959332e6,0.0020588709677419356
2,2.0817525737809537e6,0.0015211290322580647
2,Inf,0.0010216129032258065
3,317100.18709017406,0.002009435483870968
3,1.2092143361220947e6,0.0018658870967741936
3,1.5509430336426091e6,0.0020588709677419356
3,2.0816247116101803e6,0.0015211290322580647
3,Inf,0.0010216129032258065
1,317100.7434672902,0.002009435483870968
1,1.2098182515665437e6,0.0018658870967741936
1,1.552184908599221e6,0.0020588709677419356
1,2.0821572513301068e6,0.0015211290322580647
1,Inf,0.0010216129032258065
