h,NO3-,NO2-,SO4-2,pH,EC,analytical_proc
0,-0.0015083190210390721,-2.1313868613138687,,,,Fred
6.625,,,0.21965438267749324,7.58,158,Ulla
13,0.5338332693046479,5.313868613138685,,,,Fred
17.125,1.0636883840947493,42.49277252472557,,7.66,285,Ulla
21,0.028825515242593382,83.27007299270073,,,,Fred
25.125,,,0.23943368727878409,7.84,314,Ulla
29,0.025100740661228003,116.7007299270073,,,,Fred
33.125,,,0.240474703310431,7.81,320,Ulla
37,0.02576518892228424,107.06569343065692,,,,Fred
41.125,,,0.24151571934207786,7.87,324,Ulla
45,0.025960015027908994,103.56204379562043,,,,Fred
49.125,,,0.240474703310431,7.75,324,Ulla
53,0.026769375268355534,103.63503649635035,,,,Fred
57.16666,,,,7.83,323,Ulla
61,0.02900101975096608,77.13868613138686,,,,Fred
65.125,,,0.24255673537372477,7.78,321,Ulla
69,0.029784617861743242,73.7080291970803,,,,Fred
73.125,,,0.24359775140537163,7.84,323,Ulla
77,0.028231912838127954,72.54014598540147,,,,Fred
81.225,,,0.24359775140537163,7.92,322,Ulla
85,0.031752200515242586,51.299270072992705,,,,Fred
89.20833,,,0.240474703310431,7.88,316,Ulla
93,0.03318521897810219,46.18978102189781,,,,Fred
97.20833,,,0.18946491775973348,7.91,307,Ulla
101,0.03315462644911981,52.02919708029197,,,,Fred
105.20833,,,0.24151571934207786,7.97,319,Ulla
109,0.03555050450837269,37.868613138686136,,,,Fred
113.20833,,,0.23839267124713717,7.85,290,Ulla
117,0.892158278908951,28.08759124087591,,,,Fred
121.20833,,,0.28315636060795335,7.85,287,Ulla
125,0.9236066077602765,21.226277372262775,,,,Fred
129.20833,,,0.24151571934207786,7.9,296,Ulla
133,1.0310710718401843,9.036496350364963,,,,Fred
137.20833,,,0.240474703310431,8.02,282,Ulla
141,0.816649250864387,2.1751824817518255,,,,Fred
145.20833,1.1350859671889886,3.0372350831431363,,8.04,278,Ulla
149,,,,,,Fred
153.20833,,,0.23943368727878409,7.91,286,Ulla
157,0.8265186323472911,-1.5474452554744522,,,,Fred
161.24166,1.1279462088795646,,,7.95,275,Ulla
165,0.7763227045716481,-0.5255474452554743,,,,Fred
172.91666,1.1136666922607168,1.839452233452885,,8.05,279,Ulla
173,,,,,,Fred
181.5,0.780563964656166,-1.6934306569343065,,,,Fred
