         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	     pct_err	        C(4)	      m_Ca+2	        m_K+	        m_F-	       m_Cl-	       m_Br-	      m_NO3-	     m_SO4-2	      m_Mg+2	       m_Na+	     m_HCO3-	     m_CO3-2	     la_Ca+2	       la_K+	       la_F-	      la_Cl-	      la_Br-	     la_NO3-	    la_SO4-2	     la_Mg+2	      la_Na+	    la_HCO3-	    la_CO3-2	  si_Calcite	   si_Gypsum	   si_CO2(g)	 si_Fluorite	   si_Pyrite	si_Mackinawite	
           1	      i_soln	           1	         -99	         -99	         -99	     6.63469	       0.173	  3.1717e-14	  1.7969e-03	  6.5889e-04	  8.9413e-05	  1.8804e-05	  4.9799e-04	  2.8791e-07	  1.4470e-05	  2.6865e-04	  9.0775e-05	  5.3852e-04	  1.1510e-03	  2.3415e-07	 -3.2861e+00	 -4.0756e+00	 -4.7528e+00	 -3.3297e+00	 -6.5681e+00	 -4.8668e+00	 -3.6764e+00	 -4.1460e+00	 -3.2953e+00	 -2.9651e+00	 -6.7353e+00	     -1.5896	     -2.3762	     -1.8276	     -2.0951	     15.6819	      0.7217	
           1	      i_soln	           2	         -99	         -99	         -99	     7.30072	       -6.36	-3.23763e-08	  2.4748e-03	  1.1480e-03	  5.6196e-05	  1.2502e-05	  3.3487e-04	  2.6288e-07	  0.0000e+00	  3.3654e-04	  1.4080e-04	  4.0743e-04	  2.1652e-03	  1.9191e-06	 -3.0647e+00	 -4.2826e+00	 -4.9354e+00	 -3.5073e+00	 -6.6130e+00	 -1.0000e+03	 -3.5987e+00	 -3.9747e+00	 -3.4215e+00	 -2.6956e+00	 -5.8414e+00	     -0.4912	     -2.0721	     -2.2453	     -2.1880	      4.8021	      1.8286	
           1	      i_soln	           3	         -99	         -99	         -99	       7.194	       -6.34	-1.12642e-07	  2.5624e-03	  1.1737e-03	  4.7258e-05	  1.0053e-05	  3.2275e-04	  2.7539e-07	  4.1943e-07	  3.2591e-04	  1.1950e-04	  3.8347e-04	  2.1723e-03	  1.4747e-06	 -3.0546e+00	 -4.3577e+00	 -5.0299e+00	 -3.5232e+00	 -6.5926e+00	 -6.4099e+00	 -3.6120e+00	 -4.0453e+00	 -3.4477e+00	 -2.6941e+00	 -5.9552e+00	     -0.5976	     -2.0740	     -2.1410	     -2.3565	      4.5515	      1.6638	
           1	      i_soln	           4	         -99	         -99	         -99	     7.31258	       -5.62	-6.18961e-07	  3.8036e-03	  1.7260e-03	  7.5344e-05	  1.2866e-05	  4.4218e-04	  4.0059e-07	  1.2487e-05	  3.9262e-04	  1.4707e-04	  5.3780e-04	  3.3262e-03	  3.1590e-06	 -2.9087e+00	 -4.1609e+00	 -4.9286e+00	 -3.3922e+00	 -6.4359e+00	 -4.9421e+00	 -3.5531e+00	 -3.9762e+00	 -3.3063e+00	 -2.5144e+00	 -5.6459e+00	     -0.1387	     -1.8708	     -2.0748	     -2.0214	      6.4016	      1.9495	
           1	      i_soln	           5	         -99	         -99	         -99	     7.24143	       -4.59	-1.25242e-11	  3.0609e-03	  1.4654e-03	  4.7247e-05	  1.2616e-05	  4.4614e-04	  3.8806e-07	  1.0163e-05	  3.9700e-04	  1.2819e-04	  5.3795e-04	  2.6359e-03	  2.0739e-06	 -2.9701e+00	 -4.3610e+00	 -4.9346e+00	 -3.3858e+00	 -6.4470e+00	 -5.0288e+00	 -3.5385e+00	 -4.0265e+00	 -3.3038e+00	 -2.6130e+00	 -5.8191e+00	     -0.3745	     -1.9172	     -2.1039	     -2.0906	      8.0750	      1.6339	
           1	      i_soln	           6	         -99	         -99	         -99	     7.28887	       -5.28	-5.46824e-11	  3.1444e-03	  1.5071e-03	  6.7678e-05	  1.3555e-05	  4.9678e-04	  4.5066e-07	  9.8408e-06	  4.0376e-04	  1.3589e-04	  6.0107e-04	  2.7398e-03	  2.3737e-06	 -2.9600e+00	 -4.2055e+00	 -4.9039e+00	 -3.3396e+00	 -6.3826e+00	 -5.0434e+00	 -3.5333e+00	 -4.0032e+00	 -3.2561e+00	 -2.5968e+00	 -5.7625e+00	     -0.3101	     -1.9008	     -2.1383	     -2.0106	      6.7714	      1.6281	
           1	      i_soln	           7	         -99	         -99	         -99	     7.34816	       -4.92	-5.25226e-13	  2.8963e-03	  1.4690e-03	  6.2562e-05	  1.4131e-05	  5.4266e-04	  4.6318e-07	  9.2439e-06	  4.2798e-04	  1.3175e-04	  6.0108e-04	  2.5636e-03	  2.6088e-06	 -2.9704e+00	 -4.2394e+00	 -4.8856e+00	 -3.3011e+00	 -6.3705e+00	 -5.0704e+00	 -3.5072e+00	 -4.0159e+00	 -3.2559e+00	 -2.6254e+00	 -5.7207e+00	     -0.2751	     -1.8867	     -2.2211	     -1.9978	      7.6779	      1.7620	
           1	      i_soln	           8	         -99	         -99	         -99	     7.41535	       -4.74	-2.16156e-07	  3.4122e-03	  1.6764e-03	  6.0009e-05	  1.3079e-05	  5.8559e-04	  5.0074e-07	  9.8248e-06	  4.3870e-04	  1.4486e-04	  7.1197e-04	  3.0581e-03	  3.6548e-06	 -2.9206e+00	 -4.2596e+00	 -4.9213e+00	 -3.2700e+00	 -6.3387e+00	 -5.0460e+00	 -3.5042e+00	 -3.9820e+00	 -3.1843e+00	 -2.5507e+00	 -5.5818e+00	     -0.0874	     -1.8335	     -2.2150	     -2.0157	      8.2071	      1.8387	
           1	      i_soln	           9	         -99	         -99	         -99	     7.21772	       -4.72	-2.25633e-07	  3.7275e-03	  1.7606e-03	  5.8728e-05	  1.2922e-05	  6.6097e-04	  5.2578e-07	  8.9054e-06	  4.7265e-04	  1.4659e-04	  7.7066e-04	  3.1771e-03	  2.3641e-06	 -2.9026e+00	 -4.2698e+00	 -4.9275e+00	 -3.2184e+00	 -6.3185e+00	 -5.0896e+00	 -3.4752e+00	 -3.9801e+00	 -3.1508e+00	 -2.5350e+00	 -5.7743e+00	     -0.2654	     -1.7850	     -2.0065	     -1.9973	      7.8285	      1.6656	
           1	      i_soln	          10	         -99	         -99	         -99	     7.24143	       -4.44	-9.61205e-08	  3.6488e-03	  1.7841e-03	  7.0205e-05	  1.2031e-05	  8.9419e-04	  6.2595e-07	  1.0148e-05	  5.3050e-04	  1.4802e-04	  9.8824e-04	  3.1295e-03	  2.4744e-06	 -2.9003e+00	 -4.1933e+00	 -4.9595e+00	 -3.0880e+00	 -6.2437e+00	 -5.0339e+00	 -3.4286e+00	 -3.9793e+00	 -3.0437e+00	 -2.5424e+00	 -5.7580e+00	     -0.2468	     -1.7361	     -2.0376	     -2.0590	      8.5171	      1.7666	
