Sample,t,h,Fe,S-2,NO3-,NO2-,SO4-2,pH,EC
1,0.21875,5.25,,,,0,,,
2,0.23958333333333334,5.75,,,,,1.8805892150739123,,
3,0.2604166666666667,6.25,,,,0,,,
4,0.28125,6.75,,,0.3,,1.9698917343327087,,
5,0.3177083333333333,7.625,0.011210262506395079,,,,,,
6,0.3541666666666667,8.5,,,,0.6593620017155705,,,
7,0.390625,9.375,,0.0086433594656781,,,,,
8,0.4270833333333333,10.25,,,,6.874769524582592,,6.77,764
9,0.4479166666666667,10.75,,,0.9268009463768186,,2.07676348115761,,
10,0.46875,11.25,,,,6.071053034556684,,,
11,0.4895833333333333,11.75,,,1.0984196410283704,,2.217932542161149,,
12,0.5260416666666666,12.625,0,,,,,,
13,0.5625,13.5,,,,6.178215233226805,,6.2,581
14,0.5989583333333334,14.375,,0.009348939830223254,,,,,
15,0.6354166666666666,15.25,,,,8.803689100644773,,,
16,0.65625,15.75,,,1.0709782613954704,,1.9343993337497396,,
17,0.6770833333333334,16.25,,,,4.142133458494506,,,
18,0.6979166666666666,16.75,,,1.1308444977735632,,1.955374765771393,,
19,0.734375,17.625,0.0126284282451559,,,,,,
20,0.7708333333333334,18.5,,,,12.125717259418524,,6.29,684
21,0.8072916666666666,19.375,,0.01358242201749416,,,,,
22,0.84375,20.25,,,,4.570782253174989,,,
23,0.8645833333333334,20.75,,,1.1731782488158196,,2.0926431397043515,,
24,0.8854166666666666,21.25,,,,7.946391511283804,,,
25,0.90625,21.75,,,1.1294704128222126,,2.0032084114095356,,
26,0.9427083333333334,22.625,0,,,,,,
27,0.9791666666666666,23.5,,,,9.071594597320074,,6.2,891
28,1.015625,24.375,,0.03333867222475839,,,,,
29,1.0520833333333333,25.25,,,,7.732067113943562,,,
30,1.0729166666666667,25.75,,,1.096552046693084,,1.9814230689152612,,
31,1.09375,26.25,,,,11.964973961413342,,,
32,1.1145833333333333,26.75,,,1.1103380539279961,,2.03507599417031,,
33,1.1510416666666667,27.625,0.009454438258405494,,,,,,
34,1.1875,28.5,,,,14.697610027501428,,6.34,848
35,1.2239583333333333,29.375,,0.016404743475674766,,,,,
36,1.2638888888888888,30.333333333333332,,,,16.305043007553245,,,
37,1.28125,30.75,,,1.0864641342861614,,1.9830335207162189,,
38,1.3020833333333333,31.25,,,,15.8228131135377,,,
39,1.3229166666666667,31.75,,,1.1594712675933676,,2.2071673953778888,,
40,1.359375,32.625,0.011547921015623849,,,,,,
41,1.3958333333333333,33.5,,,,24.449370106482448,,,
42,1.4322916666666667,34.375,,0.02063822566294567,,,,,
43,1.46875,35.25,,,,27.985722662596444,,8.73,476
44,1.4895833333333333,35.75,,,0.9181871110186453,,1.725825525713096,,
45,1.5104166666666667,36.25,,,,26.324708583209567,,,
46,1.53125,36.75,,,0.9236286164480549,,1.690840099937539,,
47,1.5677083333333333,37.625,0,,,,,,
48,1.6041666666666667,38.5,,,,24.181464609807144,,8.34,751
49,1.640625,39.375,,0.012876841652949009,,,,,
50,1.6770833333333333,40.25,,,,29.164506847967775,,,
51,1.6979166666666667,40.75,,,0.9990855561415307,,2.1304642931501143,,
52,1.71875,41.25,,,,25.038762199168115,,,
53,1.7395833333333333,41.75,,,0.9818417576675391,,1.9764480533000206,,
54,1.7760416666666667,42.625,0.007225892097495619,,,,,,
55,1.8125,43.5,,,,24.342207907812327,,7.81,848
56,1.8489583333333333,44.375,,0.02063822566294567,,,,,
57,1.8854166666666667,45.25,,,,25.896059788529083,,,
58,1.90625,45.75,,,0.9114553849776389,,1.7320924422236104,,
59,1.9270833333333333,46.25,,,,22.306126133080024,,,
60,1.9479166666666667,46.75,,,0.9500926539676704,,2.039934415990006,,
61,1.984375,47.625,0.000742848720303285,,,,,,
62,2.2743055555555554,54.583333333333336,,,,23.377748119781238,,,
63,2.310763888888889,55.458333333333336,0.004794750831048496,,,,,,
64,2.3628472222222223,56.708333333333336,,0.012876841652949009,,,,,
65,2.392361111111111,57.416666666666664,,,0.9982936832411632,,2.079114095357068,7.66,801
66,2.5520833333333335,61.25,,,,27.717817165921133,,,
67,2.5885416666666665,62.125,0.0019584193535268466,,,,,,
68,2.640625,63.375,,0.017110323840219915,,,,,
69,2.6770833333333335,64.25,,,0.9695959512877208,,1.9403987091401207,7.03,802
70,2.8645833333333335,68.75,,,,26.53903298054981,,,
71,2.9010416666666665,69.625,0.04234237705728747,,,,,,
72,2.953125,70.875,,0.015699163111129615,,,,,
73,2.9895833333333335,71.75,,,0.979477428396788,,1.9189329585675619,7.3,621
74,3.2604166666666665,78.25,,,,31.468494119375375,,,
75,3.296875,79.125,0,,,,,,
76,3.359375,80.625,,0.012171261288403859,,,,,
77,3.40625,81.75,,,1.0245383832568071,,2.0531646887362065,7.15,780
78,3.5520833333333335,85.25,,,,32.75444050341683,,,
79,3.5885416666666665,86.125,0.0033090533904419264,,,,,,
80,3.640625,87.375,,0.010760100559313555,,,,,
81,3.6770833333333335,88.25,,,1.00184017714729,,2.009255673537372,7.57,580
82,3.8645833333333335,92.75,,,,26.64619517921993,,,
83,3.9010416666666665,93.625,0.0183010912001992,,,,,,
84,3.953125,94.875,,0.024871707850216578,,,,,
85,3.9895833333333335,95.75,,,1.0053947349322392,,2.2119997917967935,7.24,836
86,4.302083333333333,103.25,,,,19.198422371646515,,,
87,4.338541666666667,104.125,0,,,,,,
88,4.380208333333333,105.125,,0.012876841652949009,,,,,
89,4.40625,105.75,,,1.0381098913150413,,1.940857797210077,8.34,742
90,4.552083333333333,109.25,,,,14.91193442484167,,,
91,4.588541666666667,110.125,0,,,,,,
92,4.640625,111.375,,0.017815904204765066,,,,,
93,4.677083333333333,112.25,,,1.0343327704745917,,1.8655350822402665,7.73,587
94,4.864583333333333,116.75,,,,23.324167020446176,,,
95,4.901041666666667,117.625,0.009657033363942762,,,,,,
96,4.953125,118.875,,0,,,,,
97,4.989583333333333,119.75,,,1.0177760144762753,,1.8439850093691441,7.35,781
98,5.260416666666667,126.25,,,,23.163423722440996,,,
99,5.296875,127.125,0.018436154603890698,,,,,,
100,5.359375,128.625,,0.012876841652949009,,,,,
101,5.40625,129.75,,,1.046555997993707,,1.8570768269831357,8.74,851
102,5.552083333333333,133.25,,,,26.64619517921993,,,
103,5.588541666666667,134.125,0.000742848720303285,,,,,,
104,5.640625,135.375,,0.009348939830223254,,,,,
105,5.677083333333333,136.25,,,1.012000664463615,,1.9483978763272953,7.42,960
106,5.864583333333333,140.75,,,,25.413829894513537,,,
107,5.901041666666667,141.625,0,,,,,,
108,5.953125,142.875,,0.0,,,,,
109,5.989583333333333,143.75,,,0.98,,0,,
110,6.302083333333333,151.25,,,,15.287002120187095,,,
111,6.328125,151.875,0.004794750831048496,,,,,,
112,6.369791666666667,152.875,,0.011465680923858705,,,,,
113,6.40625,153.75,,,0.9598612367732228,,2.2320705808869454,7.55,973
114,6.552083333333333,157.25,,,,16.465786305558428,,,
115,6.588541666666667,158.125,0,,,,,,
116,6.640625,159.375,,0.01358242201749416,,,,,
117,6.677083333333333,160.25,,,0.8068701022016002,,1.8250020820320632,7.46,811
118,6.864583333333333,164.75,,,,17.323083894919396,,,
119,6.901041666666667,165.625,0,,,,,,
120,6.953125,166.875,,0.0008819754556814389,,,,,
121,6.989583333333333,167.75,,,0.9773550154907112,,1.9180179054757442,7.35,779
122,7.284027777777778,174.81666666666666,,,,25.4674109938486,,,
123,7.330902777777778,175.94166666666666,0,,,,,,
124,7.373263888888889,176.95833333333334,,0.050272600973842015,,,,,
125,7.399305555555555,177.58333333333334,,,1.007988078361549,,1.9920122839891734,7.32,881
