Sample,t,h,Fe,S-2,NO3-,NO2-,SO4-2,pH,EC
1,0.21875,5.25,,,,1.516659591076539,,,
2,0.23958333333333334,5.75,,,,,2.1437278784093277,,
3,0.2604166666666667,6.25,,,,0,,,
4,0.28125,6.75,,,0.013192505753577539,,2.125494482615032,,
5,0.3177083333333333,7.625,0.0019584193535268466,,,,,,
6,0.3541666666666667,8.5,,,,1.3559162930713573,,,
7,0.390625,9.375,,0.012171261288403859,,,,,
8,0.4270833333333333,10.25,,,,3.767065763149082,,7.21,775
9,0.4479166666666667,10.75,,,0.8172612164522481,,2.119378513429107,,
10,0.46875,11.25,,,,4.892268849185353,,,
11,0.4895833333333333,11.75,,,0.9619933263338865,,2.026374141161774,,
12,0.5260416666666666,12.625,0,,,,,,
13,0.5625,13.5,,,,6.124634133891744,,6.86,761
14,0.5989583333333334,14.375,,0.006526618372042648,,,,,
15,0.6354166666666666,15.25,,,,6.821188425247532,,,
16,0.65625,15.75,,,1.1045385122788682,,2.135595461170102,,
17,0.6770833333333334,16.25,,,,6.767607325912471,,,
18,0.6979166666666666,16.75,,,1.1342039096910084,,2.163765354986467,,
19,0.734375,17.625,0,,,,,,
20,0.7708333333333334,18.5,,,,7.6784860146085,,6.54,737
21,0.8072916666666666,19.375,,0.015699163111129615,,,,,
22,0.84375,20.25,,,,7.9999726106188636,,,
23,0.8645833333333334,20.75,,,1.1732395342948703,,2.1764907349573184,,
24,0.8854166666666666,21.25,,,,8.160715908624045,,,
25,0.90625,21.75,,,1.076845539626707,,1.7751093066833228,,
26,0.9427083333333334,22.625,0,,,,,,
27,0.9791666666666666,23.5,,,,9.178756795990195,,6.85,720
28,1.015625,24.375,,0.02769402930839718,,,,,
29,1.0520833333333333,25.25,,,,9.982473286016104,,,
30,1.0729166666666667,25.75,,,1.1899543423181071,,2.072906516760358,,
31,1.09375,26.25,,,,11.161257471387437,,,
32,1.1145833333333333,26.75,,,1.1917574256228138,,2.012935665209244,,
33,1.1510416666666667,27.625,0.00027012680738300836,,,,,,
34,1.1875,28.5,,,,12.76869045143925,,6.83,659
35,1.2239583333333333,29.375,,0.010760100559313555,,,,,
36,1.2638888888888888,30.333333333333332,,,,12.072136160083463,,,
37,1.28125,30.75,,,1.155792526074552,,1.9275338330210283,,
38,1.3020833333333333,31.25,,,,12.447203855428887,,,
39,1.3229166666666667,31.75,,,1.1148618899474074,,1.8558921507391213,,
40,1.359375,32.625,0.004794750831048496,,,,,,
41,1.3958333333333333,33.5,,,,13.518825842130099,,,
42,1.4322916666666667,34.375,,0.01993264529840052,,,,,
43,1.46875,35.25,,,,17.69815159026482,,7.4,675
44,1.4895833333333333,35.75,,,1.1103380539279961,,1.8374880283156358,,
45,1.5104166666666667,36.25,,,,16.73369180223373,,,
46,1.53125,36.75,,,1.0993631148506005,,1.7750926504268165,,
47,1.5677083333333333,37.625,0,,,,,,
48,1.6041666666666667,38.5,,,,18.126800384945305,,7.75,591
49,1.640625,39.375,,0.02063822566294567,,,,,
50,1.6770833333333333,40.25,,,,18.93051687497121,,,
